,date,location,total_vaccinations,people_fully_vaccinated
1620,2/14/21,Arkansas,472536,130637
1669,2/15/21,Arkansas,,
1718,2/16/21,Arkansas,483438,136415
1767,2/17/21,Arkansas,486949,138254
1816,2/18/21,Arkansas,490737,140662
1865,2/19/21,Arkansas,517271,150812
1914,2/20/21,Arkansas,520904,152675
1963,2/21/21,Arkansas,528467,157511
2012,2/22/21,Arkansas,535413,161660
2061,2/23/21,Arkansas,540192,164064
2110,2/24/21,Arkansas,554466,172834
2159,2/25/21,Arkansas,572553,184592
2208,2/26/21,Arkansas,597990,200532
2257,2/27/21,Arkansas,622665,214402
2306,2/28/21,Arkansas,649311,227450
2355,3/1/21,Arkansas,661572,233685
2404,3/2/21,Arkansas,670815,236706
2453,3/3/21,Arkansas,687433,242999
2502,3/4/21,Arkansas,704368,249956
2551,3/5/21,Arkansas,723756,257367
2600,3/6/21,Arkansas,744139,265226
2649,3/7/21,Arkansas,765260,274376
2698,3/8/21,Arkansas,773357,277217
2747,3/9/21,Arkansas,782750,279815
2796,3/10/21,Arkansas,799184,285284
2845,3/11/21,Arkansas,800091,285811
2894,3/12/21,Arkansas,836608,297193
2943,3/13/21,Arkansas,882630,309784
2992,3/14/21,Arkansas,882630,309827
3041,3/15/21,Arkansas,892588,313372
3090,3/16/21,Arkansas,897059,314915
3139,3/17/21,Arkansas,912660,319158
3188,3/18/21,Arkansas,929862,324554
3237,3/19/21,Arkansas,952919,330804
3286,3/20/21,Arkansas,974973,335958
3335,3/21/21,Arkansas,999488,345022
3384,3/22/21,Arkansas,1008575,348589
3433,3/23/21,Arkansas,1012415,349951
3482,3/24/21,Arkansas,1032499,357343
3531,3/25/21,Arkansas,1056307,366664
3580,3/26/21,Arkansas,1086176,376230
3629,3/27/21,Arkansas,1114449,388657
3678,3/28/21,Arkansas,1143893,403398
3727,3/29/21,Arkansas,1153739,407828
3776,3/30/21,Arkansas,1159108,410003
3825,3/31/21,Arkansas,1183295,419462
4,1/12/21,California,816301,100089
53,1/13/21,California,891489,133689
102,1/14/21,California,975293,
151,1/15/21,California,1072959,204374
200,1/16/21,California,,
249,1/17/21,California,,
298,1/18/21,California,,
347,1/19/21,California,1460430,260838
396,1/20/21,California,1532329,273276
445,1/21/21,California,1633875,293834
494,1/22/21,California,1803679,321839
543,1/23/21,California,2008220,341731
592,1/24/21,California,2199908,356382
641,1/25/21,California,2330633,371482
690,1/26/21,California,2446577,387563
739,1/27/21,California,2579666,417606
788,1/28/21,California,2746876,458585
837,1/29/21,California,2910562,487552
886,1/30/21,California,3095781,524350
935,1/31/21,California,3285351,558977
984,2/1/21,California,3453284,581985
1033,2/2/21,California,3543817,592045
1082,2/3/21,California,3671316,613845
1131,2/4/21,California,3723803,625189
1180,2/5/21,California,3920632,675027
1229,2/6/21,California,4137600,727993
1278,2/7/21,California,4485166,808832
1327,2/8/21,California,4682862,847993
1376,2/9/21,California,4784478,875340
1425,2/10/21,California,4957297,928615
1474,2/11/21,California,5134864,990128
1523,2/12/21,California,5341104,1081040
1572,2/13/21,California,5562553,1178577
1621,2/14/21,California,5820388,1287390
1670,2/15/21,California,,
1719,2/16/21,California,6210992,1456222
1768,2/17/21,California,6323011,1507829
1817,2/18/21,California,6496140,1581541
1866,2/19/21,California,6964603,1753917
1915,2/20/21,California,7201713,1864867
1964,2/21/21,California,7453468,1974488
2013,2/22/21,California,7604725,2045420
2062,2/23/21,California,7728120,2102729
2111,2/24/21,California,7876011,2170406
2160,2/25/21,California,8064121,2259934
2209,2/26/21,California,8310945,2380502
2258,2/27/21,California,8566470,2502426
2307,2/28/21,California,8821044,2609341
2356,3/1/21,California,9106077,2740495
2405,3/2/21,California,9497125,2900991
2454,3/3/21,California,9731169,2992863
2503,3/4/21,California,9860209,3042381
2552,3/5/21,California,10071476,3124031
2601,3/6/21,California,10415023,3259014
2650,3/7/21,California,10634752,3347266
2699,3/8/21,California,10805474,3406971
2748,3/9/21,California,10925581,3444791
2797,3/10/21,California,11062505,3485179
2846,3/11/21,California,11220508,3541495
2895,3/12/21,California,11428034,3614744
2944,3/13/21,California,11881857,3819191
2993,3/14/21,California,11883375,3819878
3042,3/15/21,California,12306608,4002159
3091,3/16/21,California,12686451,4153287
3140,3/17/21,California,13161027,4347379
3189,3/18/21,California,13563094,4517256
3238,3/19/21,California,13882984,4644718
3287,3/20/21,California,14276125,4792324
3336,3/21/21,California,14708175,4980526
3385,3/22/21,California,15050673,5102480
3434,3/23/21,California,15349039,5203432
3483,3/24/21,California,15691888,5337045
3532,3/25/21,California,16062266,5481297
3581,3/26/21,California,16527440,5665179
3630,3/27/21,California,16944916,5830902
3679,3/28/21,California,17335016,5983249
3728,3/29/21,California,17703550,6131336
3777,3/30/21,California,17922091,6228491
3826,3/31/21,California,18223412,6348325
5,1/12/21,Colorado,224428,36425
54,1/13/21,Colorado,239665,41271
103,1/14/21,Colorado,254706,
152,1/15/21,Colorado,272233,47021
201,1/16/21,Colorado,,
250,1/17/21,Colorado,,
299,1/18/21,Colorado,,
348,1/19/21,Colorado,330292,49897
397,1/20/21,Colorado,340438,51460
446,1/21/21,Colorado,353194,54474
495,1/22/21,Colorado,377283,62086
544,1/23/21,Colorado,377283,62086
593,1/24/21,Colorado,434496,76902
642,1/25/21,Colorado,447880,80467
691,1/26/21,Colorado,457746,82946
740,1/27/21,Colorado,474527,90200
789,1/28/21,Colorado,495706,98663
838,1/29/21,Colorado,521879,108507
887,1/30/21,Colorado,545356,118770
936,1/31/21,Colorado,569234,125078
985,2/1/21,Colorado,589787,130738
1034,2/2/21,Colorado,601347,132752
1083,2/3/21,Colorado,617125,140610
1132,2/4/21,Colorado,638923,149829
1181,2/5/21,Colorado,661703,162511
1230,2/6/21,Colorado,694860,178975
1279,2/7/21,Colorado,729895,197523
1328,2/8/21,Colorado,751960,207951
1377,2/9/21,Colorado,757560,211328
1426,2/10/21,Colorado,787041,225626
1475,2/11/21,Colorado,815108,239804
1524,2/12/21,Colorado,844620,254037
1573,2/13/21,Colorado,885581,271661
1622,2/14/21,Colorado,926807,290991
1671,2/15/21,Colorado,,
1720,2/16/21,Colorado,1000597,308992
1769,2/17/21,Colorado,1024167,314557
1818,2/18/21,Colorado,1053041,322769
1867,2/19/21,Colorado,1132448,345623
1916,2/20/21,Colorado,1167895,360392
1965,2/21/21,Colorado,1202161,378242
2014,2/22/21,Colorado,1231699,392378
2063,2/23/21,Colorado,1233466,393198
2112,2/24/21,Colorado,1268302,413202
2161,2/25/21,Colorado,1294236,426398
2210,2/26/21,Colorado,1323183,439201
2259,2/27/21,Colorado,1324715,440259
2308,2/28/21,Colorado,1371577,461947
2357,3/1/21,Colorado,1412910,479652
2406,3/2/21,Colorado,1428854,484943
2455,3/3/21,Colorado,1462053,499168
2504,3/4/21,Colorado,1494910,513386
2553,3/5/21,Colorado,1528864,526521
2602,3/6/21,Colorado,1580162,549441
2651,3/7/21,Colorado,1626499,567922
2700,3/8/21,Colorado,1627458,571975
2749,3/9/21,Colorado,1650716,584872
2798,3/10/21,Colorado,1694476,609417
2847,3/11/21,Colorado,1764066,640244
2896,3/12/21,Colorado,1817050,665380
2945,3/13/21,Colorado,1878538,695032
2994,3/14/21,Colorado,1878639,695186
3043,3/15/21,Colorado,1933717,720482
3092,3/16/21,Colorado,1948333,728689
3141,3/17/21,Colorado,1987533,746744
3190,3/18/21,Colorado,2029213,765933
3239,3/19/21,Colorado,2080284,782902
3288,3/20/21,Colorado,2188145,838000
3337,3/21/21,Colorado,2250372,866707
3386,3/22/21,Colorado,2276660,878386
3435,3/23/21,Colorado,2310425,889795
3484,3/24/21,Colorado,2344091,900059
3533,3/25/21,Colorado,2388899,912807
3582,3/26/21,Colorado,2443350,927382
3631,3/27/21,Colorado,2500874,946188
3680,3/28/21,Colorado,2569087,966835
3729,3/29/21,Colorado,2602792,976137
3778,3/30/21,Colorado,2645306,991243
3827,3/31/21,Colorado,2691248,1008589
6,1/12/21,Connecticut,151395,4174
55,1/13/21,Connecticut,161875,5268
104,1/14/21,Connecticut,171897,
153,1/15/21,Connecticut,185866,17162
202,1/16/21,Connecticut,,
251,1/17/21,Connecticut,,
300,1/18/21,Connecticut,,
349,1/19/21,Connecticut,229524,23150
398,1/20/21,Connecticut,243140,25018
447,1/21/21,Connecticut,264707,28602
496,1/22/21,Connecticut,287440,33149
545,1/23/21,Connecticut,306796,37098
594,1/24/21,Connecticut,321737,40506
643,1/25/21,Connecticut,331264,42421
692,1/26/21,Connecticut,342643,45190
741,1/27/21,Connecticut,360991,51939
790,1/28/21,Connecticut,381160,59437
839,1/29/21,Connecticut,403370,67624
888,1/30/21,Connecticut,421191,73706
937,1/31/21,Connecticut,436842,79511
986,2/1/21,Connecticut,449253,83855
1035,2/2/21,Connecticut,456090,86602
1084,2/3/21,Connecticut,465008,90574
1133,2/4/21,Connecticut,481826,97568
1182,2/5/21,Connecticut,502347,106224
1231,2/6/21,Connecticut,519400,115349
1280,2/7/21,Connecticut,533941,123198
1329,2/8/21,Connecticut,542414,127194
1378,2/9/21,Connecticut,554322,133196
1427,2/10/21,Connecticut,574750,142918
1476,2/11/21,Connecticut,600249,154639
1525,2/12/21,Connecticut,626678,167894
1574,2/13/21,Connecticut,654766,183146
1623,2/14/21,Connecticut,674704,191978
1672,2/15/21,Connecticut,,
1721,2/16/21,Connecticut,711142,206920
1770,2/17/21,Connecticut,738191,218777
1819,2/18/21,Connecticut,767183,231795
1868,2/19/21,Connecticut,822615,253770
1917,2/20/21,Connecticut,847820,265343
1966,2/21/21,Connecticut,860534,270792
2015,2/22/21,Connecticut,882777,277754
2064,2/23/21,Connecticut,892882,280425
2113,2/24/21,Connecticut,912033,283844
2162,2/25/21,Connecticut,925946,286522
2211,2/26/21,Connecticut,954153,291338
2260,2/27/21,Connecticut,980211,296178
2309,2/28/21,Connecticut,1004467,301151
2358,3/1/21,Connecticut,1031305,306075
2407,3/2/21,Connecticut,1040154,307686
2456,3/3/21,Connecticut,1061375,311505
2505,3/4/21,Connecticut,1087313,314508
2554,3/5/21,Connecticut,1121517,318025
2603,3/6/21,Connecticut,1157114,321484
2652,3/7/21,Connecticut,1195617,325922
2701,3/8/21,Connecticut,1228865,340912
2750,3/9/21,Connecticut,1245687,345611
2799,3/10/21,Connecticut,1272581,354352
2848,3/11/21,Connecticut,1304302,362671
2897,3/12/21,Connecticut,1345350,374997
2946,3/13/21,Connecticut,1411525,496388
2995,3/14/21,Connecticut,1411532,496443
3044,3/15/21,Connecticut,1442439,509812
3093,3/16/21,Connecticut,1460334,517141
3142,3/17/21,Connecticut,1483587,528525
3191,3/18/21,Connecticut,1514945,543501
3240,3/19/21,Connecticut,1551481,559558
3289,3/20/21,Connecticut,1586484,574848
3338,3/21/21,Connecticut,1623090,589228
3387,3/22/21,Connecticut,1658338,603624
3436,3/23/21,Connecticut,1676905,608492
3485,3/24/21,Connecticut,1701298,618348
3534,3/25/21,Connecticut,1737160,632200
3583,3/26/21,Connecticut,1774045,646279
3632,3/27/21,Connecticut,1813854,664680
3681,3/28/21,Connecticut,1854289,682603
3730,3/29/21,Connecticut,1891603,697784
3779,3/30/21,Connecticut,1924605,713132
3828,3/31/21,Connecticut,1954259,725544
7,1/12/21,Delaware,26410,2784
56,1/13/21,Delaware,28413,4050
105,1/14/21,Delaware,31090,
154,1/15/21,Delaware,31090,5354
203,1/16/21,Delaware,,
252,1/17/21,Delaware,,
301,1/18/21,Delaware,,
350,1/19/21,Delaware,42557,6768
399,1/20/21,Delaware,45640,6919
448,1/21/21,Delaware,49369,7355
497,1/22/21,Delaware,54257,8847
546,1/23/21,Delaware,60023,10448
595,1/24/21,Delaware,64186,11464
644,1/25/21,Delaware,66914,11647
693,1/26/21,Delaware,68507,11724
742,1/27/21,Delaware,77449,12352
791,1/28/21,Delaware,82289,13121
840,1/29/21,Delaware,87300,14210
889,1/30/21,Delaware,92509,14956
938,1/31/21,Delaware,99954,16397
987,2/1/21,Delaware,102697,17628
1036,2/2/21,Delaware,103770,18040
1085,2/3/21,Delaware,107544,18568
1134,2/4/21,Delaware,110784,20394
1183,2/5/21,Delaware,114226,21264
1232,2/6/21,Delaware,118475,22791
1281,2/7/21,Delaware,123428,24245
1330,2/8/21,Delaware,126650,25179
1379,2/9/21,Delaware,127523,25405
1428,2/10/21,Delaware,130116,26054
1477,2/11/21,Delaware,133370,26864
1526,2/12/21,Delaware,136591,27742
1575,2/13/21,Delaware,142103,29423
1624,2/14/21,Delaware,146437,31095
1673,2/15/21,Delaware,,
1722,2/16/21,Delaware,152387,34002
1771,2/17/21,Delaware,155111,35601
1820,2/18/21,Delaware,159845,37499
1869,2/19/21,Delaware,175305,43614
1918,2/20/21,Delaware,180600,46527
1967,2/21/21,Delaware,180940,46803
2016,2/22/21,Delaware,183901,46587
2065,2/23/21,Delaware,186619,48778
2114,2/24/21,Delaware,189836,51176
2163,2/25/21,Delaware,195534,54950
2212,2/26/21,Delaware,203745,59922
2261,2/27/21,Delaware,212739,65740
2310,2/28/21,Delaware,219312,69293
2359,3/1/21,Delaware,225374,73675
2408,3/2/21,Delaware,225417,73766
2457,3/3/21,Delaware,237669,81275
2506,3/4/21,Delaware,246194,84956
2555,3/5/21,Delaware,255036,89355
2604,3/6/21,Delaware,264601,93706
2653,3/7/21,Delaware,275467,97981
2702,3/8/21,Delaware,280674,100543
2751,3/9/21,Delaware,285101,103622
2800,3/10/21,Delaware,285262,103844
2849,3/11/21,Delaware,299695,108208
2898,3/12/21,Delaware,307982,111344
2947,3/13/21,Delaware,317790,115412
2996,3/14/21,Delaware,317790,115574
3045,3/15/21,Delaware,333896,120782
3094,3/16/21,Delaware,338429,122819
3143,3/17/21,Delaware,346179,124533
3192,3/18/21,Delaware,354571,125907
3241,3/19/21,Delaware,362023,127182
3290,3/20/21,Delaware,372165,129418
3339,3/21/21,Delaware,382342,131496
3388,3/22/21,Delaware,389157,133398
3437,3/23/21,Delaware,389157,133611
3486,3/24/21,Delaware,397204,135570
3535,3/25/21,Delaware,406635,138495
3584,3/26/21,Delaware,417566,142013
3633,3/27/21,Delaware,428136,146193
3682,3/28/21,Delaware,438768,149897
3731,3/29/21,Delaware,447568,152901
3780,3/30/21,Delaware,453447,155441
3829,3/31/21,Delaware,463476,159773
8,1/12/21,Florida,633440,41725
57,1/13/21,Florida,705398,52969
106,1/14/21,Florida,774485,
155,1/15/21,Florida,853081,74776
204,1/16/21,Florida,,
253,1/17/21,Florida,,
302,1/18/21,Florida,,
351,1/19/21,Florida,1174685,103173
400,1/20/21,Florida,1239975,111763
449,1/21/21,Florida,1239975,111763
498,1/22/21,Florida,1314377,124582
547,1/23/21,Florida,1489003,152209
596,1/24/21,Florida,1544794,156226
645,1/25/21,Florida,1544794,156298
694,1/26/21,Florida,1575490,158886
743,1/27/21,Florida,1632491,176671
792,1/28/21,Florida,1707251,204623
841,1/29/21,Florida,1796246,236834
890,1/30/21,Florida,1890198,274211
939,1/31/21,Florida,1959626,297584
988,2/1/21,Florida,2005378,315392
1037,2/2/21,Florida,2048143,329176
1086,2/3/21,Florida,2133168,373238
1135,2/4/21,Florida,2223754,422482
1184,2/5/21,Florida,2260744,440172
1233,2/6/21,Florida,2385839,512064
1282,2/7/21,Florida,2607527,629556
1331,2/8/21,Florida,2607527,629556
1380,2/9/21,Florida,2731300,694637
1429,2/10/21,Florida,2835535,756678
1478,2/11/21,Florida,2957730,823514
1527,2/12/21,Florida,3216044,962465
1576,2/13/21,Florida,3351430,1028266
1625,2/14/21,Florida,3467856,1082096
1674,2/15/21,Florida,,
1723,2/16/21,Florida,3598996,1134793
1772,2/17/21,Florida,3702569,1180757
1821,2/18/21,Florida,3819224,1231696
1870,2/19/21,Florida,4198451,1378573
1919,2/20/21,Florida,4205898,1382923
1968,2/21/21,Florida,4387051,1481148
2017,2/22/21,Florida,4390626,1460844
2066,2/23/21,Florida,4406005,1470763
2115,2/24/21,Florida,4502702,1513077
2164,2/25/21,Florida,4605201,1567301
2213,2/26/21,Florida,4704530,1616247
2262,2/27/21,Florida,4822353,1668541
2311,2/28/21,Florida,5044420,1760865
2360,3/1/21,Florida,5047960,1761444
2409,3/2/21,Florida,5077891,1773464
2458,3/3/21,Florida,5167346,1807459
2507,3/4/21,Florida,5314200,1859056
2556,3/5/21,Florida,5448653,1902438
2605,3/6/21,Florida,5688357,1978276
2654,3/7/21,Florida,5900450,2045028
2703,3/8/21,Florida,5904827,2055838
2752,3/9/21,Florida,5961421,2074763
2801,3/10/21,Florida,6070173,2111915
2850,3/11/21,Florida,6332072,2179625
2899,3/12/21,Florida,6613352,2243267
2948,3/13/21,Florida,7007792,2399551
2997,3/14/21,Florida,7108286,2445584
3046,3/15/21,Florida,7116355,2451940
3095,3/16/21,Florida,7197889,2498540
3144,3/17/21,Florida,7332554,2562319
3193,3/18/21,Florida,7522691,2630843
3242,3/19/21,Florida,7684142,2691206
3291,3/20/21,Florida,7977789,2787613
3340,3/21/21,Florida,8186888,2855811
3389,3/22/21,Florida,8191294,2859122
3438,3/23/21,Florida,8250717,2885760
