,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate
102,Arizona,1/14/21,649040,10855,88666,549519,8916.956106,5854089,1.67247011,43318.71949
103,Arkansas,1/14/21,264511,4228,235513,24770,8765.015886,2233844,1.598421238,74022.16976
104,California,1/14/21,2910044,32517,,2851381,7298.245406,37130366,1.120713362,93971.84765
105,Colorado,1/14/21,369177,5316,19560,344301,6410.729716,4895837,1.439959694,85015.82639
106,Connecticut,1/14/21,221544,6553,9800,205191,6213.917701,4850459,2.957877442,136046.8035
107,Delaware,1/14/21,68065,1178,18851,48219,6989.886667,1089972,1.461837949,111933.8977
108,Florida,1/14/21,1531192,23613,,1507579,7129.205465,17282796,1.542131882,80468.42179
109,Georgia,1/14/21,791324,11975,,779349,7453.070298,5801007,1.513286593,54636.67596
110,Hawaii,1/14/21,24598,318,11958,11838,1703.049428,888876,1.314643553,62779.40379
111,Idaho,1/14/21,153358,1591,68657,83110,8581.55691,569199,1.037441803,31851.05186
112,Illinois,1/14/21,1052682,19724,,1032958,8307.266967,14457620,1.87369025,114092.6786
113,Indiana,1/14/21,578494,10400,373704,195588,8592.917135,6271603,1.590682012,93158.03601
114,Iowa,1/14/21,302560,4251,262266,36043,9589.644604,1208878,1.405010576,38315.4098
115,Kansas,1/14/21,254410,3348,5026,244621,8683.924905,1083932,1.321396103,37206.1508
116,Kentucky,1/14/21,317344,3042,39998,274304,7103.116096,3378562,0.958581224,75622.41015
117,Louisiana,1/14/21,361148,8080,298614,54454,7768.63849,4563949,2.237309912,98174.903
118,Maine,1/14/21,31958,461,11840,19657,2377.452366,1223968,1.442518305,91054.68483
119,Maryland,1/14/21,317815,6449,9443,301923,5256.894179,6298178,2.029167912,104176.5029
120,Massachusetts,1/14/21,454402,13433,324203,116766,6592.699343,12046398,2.956192975,174775.3755
121,Michigan,1/14/21,576573,14511,415079,146983,5773.317872,8714839,2.516767174,87263.07987
122,Minnesota,1/14/21,441935,5885,420919,15131,7836.238251,5767323,1.331643794,102264.1726
123,Mississippi,1/14/21,245847,5356,198888,41603,8260.574319,1468773,2.17859075,49351.46056
124,Missouri,1/14/21,492899,6457,,437201,7227.864832,3882097,1.44362665,63252.83164
125,Montana,1/14/21,88110,1077,82190,4843,8243.994543,862427,1.222335717,80692.80992
126,Nebraska,1/14/21,180131,1818,123234,55079,9311.944533,1887154,1.009265479,97557.18545
127,Nevada,1/14/21,256172,3658,,252514,8316.851484,2289156,1.427946848,74319.48252
128,New Hampshire,1/14/21,55957,897,47153,6728,4028.650206,1122237,1.637518712,82534.96515
129,New Jersey,1/14/21,609721,20161,61264,528296,6864.534535,8534237,3.306594328,96082.57648
130,New Mexico,1/14/21,160543,2836,82809,74898,7656.466026,2140562,1.766504924,102085.6732
131,New York,1/14/21,1193453,40435,112979,1040039,6134.881938,28131034,3.388068068,144606.0904
132,North Carolina,1/14/21,650926,7825,521475,121626,6206.338546,7850168,1.202133576,74848.44706
133,North Dakota,1/14/21,95378,1372,92249,1757,12515.77956,1294101,1.438486863,169815.7105
134,Ohio,1/14/21,807293,15457,663856,133447,6906.374315,8304981,1.237468924,71048.93448
135,Oklahoma,1/14/21,344969,2882,303476,38148,8706.305909,2908367,0.836560176,73499.83106
136,Oregon,1/14/21,130246,1737,5870,122639,3088.054092,2874572,1.333630207,68154.36809
137,Pennsylvania,1/14/21,753164,18710,568908,165546,5883.179559,8307622,2.484186711,32624.14145
138,Rhode Island,1/14/21,103386,2130,6175,95215,9759.279415,2219805,1.930628905,209541.8842
139,South Carolina,1/14/21,371180,5934,170072,195174,7209.178836,3576120,1.598685274,69456.56721
140,South Dakota,1/14/21,104512,1614,98170,4728,11813.81753,388172,1.544320269,43878.14966
141,Tennessee,1/14/21,670482,8232,596883,65367,9817.9077,6033531,1.227773453,88349.35235
142,Texas,1/14/21,2068637,31693,1630778,406166,7134.244343,15304459,1.532071601,52781.49334
143,Utah,1/14/21,317559,1460,260728,55371,9905.276364,2421802,0.459757085,75540.66522
144,Vermont,1/14/21,9573,162,6403,3008,1534.16166,779178,1.69225948,124870.4705
145,Virginia,1/14/21,417839,5626,34013,378200,4895.296935,4706714,1.346451624,55142.68084
146,Washington,1/14/21,283777,3876,,279901,3726.60522,4128417,1.365861222,54215.03625
147,West Virginia,1/14/21,105219,1702,76272,27245,5871.114367,1711057,1.617578574,95475.25956
148,Wisconsin,1/14/21,561160,5728,482669,72763,9637.893706,5716124,1.020742747,98174.1313
149,Wyoming,1/14/21,48701,522,46127,2052,8414.728756,542316,1.071846574,93703.25127
150,Alabama,1/15/21,417528,6030,221961,189537,8515.444553,2012213,1.44421452,41038.89615
151,Alaska,1/15/21,51485,229,7165,44072,7035.247319,1389226,0.44495395,189903.0135
152,Arizona,1/15/21,658186,11040,89665,557481,9042.610119,5912271,1.677337409,43605.28099
153,Arkansas,1/15/21,267635,4263,237729,25643,8868.534868,2248612,1.592840996,74511.53223
154,California,1/15/21,2948054,33192,,2889688,7396.926263,37449536,1.129165255,94779.623
155,Colorado,1/15/21,371458,5343,19665,346450,6450.339102,4937103,1.438386036,85732.40725
156,Connecticut,1/15/21,223422,6594,9800,207028,6266.592283,4880936,2.951365577,136901.6295
157,Delaware,1/15/21,68727,1182,18851,48874,7057.870285,1101490,1.457942293,113116.7305
158,Florida,1/15/21,1548067,23799,,1524268,7207.775195,17424558,1.537336562,81128.46339
159,Georgia,1/15/21,801130,12138,,788992,7545.427925,5844021,1.515109907,55041.80252
160,Hawaii,1/15/21,24789,318,11958,12043,1717.528138,894688,1.303561148,63189.89287
161,Idaho,1/15/21,154470,1603,69460,83407,8643.781843,571813,1.037741956,31997.32522
162,Illinois,1/15/21,1059324,19873,,1039451,8359.68248,14564776,1.876007718,114938.3029
163,Indiana,1/15/21,583160,10465,374379,199535,8662.225635,6328023,1.585499691,93996.09549
164,Iowa,1/15/21,303926,4257,263844,35825,9632.939998,1212121,1.4006699,38418.19674
165,Kansas,1/15/21,258354,3489,5138,249727,8868.04512,1100365,1.350472607,37770.21632
166,Kentucky,1/15/21,321269,3061,40100,278108,7190.969438,3392110,0.952784115,75925.65526
167,Louisiana,1/15/21,364853,8080,298614,58159,7848.336579,4593428,2.214590534,98809.02445
168,Maine,1/15/21,32781,477,11876,20428,2438.677828,1238547,1.455111192,92139.26077
169,Maryland,1/15/21,320739,6494,9444,304801,5305.259293,6352475,2.02469921,105074.6153
170,Massachusetts,1/15/21,459927,13509,324203,122215,6672.858902,12147366,2.937205252,176240.2715
171,Michigan,1/15/21,579574,14550,415079,149945,5803.367366,8757257,2.510464583,87687.8181
172,Minnesota,1/15/21,443562,5918,422289,15355,7865.087651,5808350,1.334199052,102991.6491
173,Mississippi,1/15/21,248189,5411,198888,43890,8339.266616,1471115,2.18019332,49430.15286
174,Missouri,1/15/21,497037,6492,,439391,7264.068923,3903116,1.443609292,63595.30409
175,Montana,1/15/21,88635,1086,82460,5089,8293.116063,869564,1.225249619,81360.5819
176,Nebraska,1/15/21,180910,1837,124233,54840,9352.215251,1894614,1.015422033,97942.83316
177,Nevada,1/15/21,258050,3698,,254352,8377.822422,2304127,1.433055609,74805.52933
178,New Hampshire,1/15/21,56966,908,48018,6624,4085.426977,1130805,1.634563456,83165.09905
179,New Jersey,1/15/21,616032,20320,61718,533994,6935.586832,8676802,3.298529946,97687.64235
180,New Mexico,1/15/21,161805,2874,84015,74916,7716.652145,2127494,1.776212107,101462.4464
181,New York,1/15/21,1212922,40637,113919,1058366,6234.961301,28455705,3.350339098,146275.0445
182,North Carolina,1/15/21,659840,7933,521475,130432,6291.330237,7937712,1.202261154,75683.1467
183,North Dakota,1/15/21,95599,1395,92551,1653,12544.77982,1298741,1.459220285,170424.5849
184,Ohio,1/15/21,814442,15595,669448,134937,6967.533856,8368521,1.234833174,71592.51782
185,Oklahoma,1/15/21,348513,2925,306874,38245,8795.717735,2937452,0.840410983,74234.86298
186,Oregon,1/15/21,131258,1758,5870,123630,3112.048001,2895680,1.339346935,68654.82604
187,Pennsylvania,1/15/21,759243,18935,573504,166804,5930.664368,8368848,2.493931455,32769.16579
188,Rhode Island,1/15/21,104443,2146,6229,96209,9859.056544,2242295,1.9197074,211664.8621
189,South Carolina,1/15/21,375967,6037,171539,198391,7302.153509,3609752,1.605726034,70109.77887
190,South Dakota,1/15/21,104937,1629,98576,4732,11861.85864,389508,1.552359987,44029.1683
191,Tennessee,1/15/21,676039,8311,602938,64790,9899.279181,6067669,1.229366945,88849.23711
192,Texas,1/15/21,2094921,32086,1649735,413100,7136.482592,15443899,1.53159109,53262.38923
193,Utah,1/15/21,320102,1472,263256,55374,9984.597428,2436305,0.459853422,75993.04171
194,Vermont,1/15/21,9734,163,6506,3065,1559.963397,788759,1.67454284,126405.9142
195,Virginia,1/15/21,422634,5656,34805,382173,4951.473953,4730680,1.338273778,55423.46048
196,Washington,1/15/21,285970,3903,,282067,3755.404048,4153214,1.364828479,54540.67444
197,West Virginia,1/15/21,106649,1733,77900,27016,5950.906929,1732732,1.624956633,96684.70276
198,Wisconsin,1/15/21,563866,5770,485157,72939,9684.369114,5745570,1.023292768,98679.86481
199,Wyoming,1/15/21,48909,522,46502,1885,8450.667722,549805,1.067288229,94997.22682
200,Alabama,1/16/21,420681,6119,221961,192601,8579.749693,2021123,1.454546319,41220.61476
201,Alaska,1/16/21,51678,229,7165,44259,7060.809656,1398649,0.443343078,191191.1092
202,Arizona,1/16/21,666901,11248,90640,565013,9162.342759,5969026,1.686607158,43870.05292
203,Arkansas,1/16/21,270178,4293,240051,25834,8952.801441,2261205,1.588952468,74928.82242
204,California,1/16/21,2983149,33574,,2926455,7491.006011,37802255,1.128700889,95672.30626
205,Colorado,1/16/21,373483,5363,19762,348358,6485.503069,4973741,1.435942198,86368.62325
206,Connecticut,1/16/21,223422,6594,9800,207028,6266.592283,4880936,2.951365577,136901.6295
207,Delaware,1/16/21,69372,1188,18851,49505,7124.1081,1108131,1.464567837,113798.7233
208,Florida,1/16/21,1560186,24004,,1536182,7264.201066,17546717,1.538534508,81697.23374
209,Georgia,1/16/21,809663,12291,,797372,7625.795826,5887700,1.518038987,55453.19236
210,Hawaii,1/16/21,24969,320,11958,12197,1728.546083,905322,1.303424042,63940.94946
211,Idaho,1/16/21,155276,1605,70163,83508,8688.883728,574288,1.033643319,32135.82047
212,Illinois,1/16/21,1064667,20020,,1044647,8401.846901,14667148,1.880400163,115746.1741
213,Indiana,1/16/21,587049,10534,375699,202063,8719.992621,6386194,1.58198038,94860.16423
214,Iowa,1/16/21,304748,4321,265320,35107,9658.993303,1214729,1.417892816,38500.85735
215,Kansas,1/16/21,258354,3489,5138,249727,8868.04512,1100365,1.350472607,37770.21632
216,Kentucky,1/16/21,324324,3093,40541,280690,7259.349554,3400741,0.953675954,76118.84308
217,Louisiana,1/16/21,364853,8080,298614,58159,7848.336579,4593428,2.214590534,98809.02445
218,Maine,1/16/21,33219,507,11952,20760,2471.261974,1238985,1.526234986,92171.84492
219,Maryland,1/16/21,324031,6541,9451,308039,5359.711397,6408323,2.01863402,105998.3823
220,Massachusetts,1/16/21,465726,13583,324203,127940,6756.993795,12259486,2.916521732,177866.9665
221,Michigan,1/16/21,581785,14669,442408,124708,5825.506463,8807614,2.521378172,88192.05081
222,Minnesota,1/16/21,445047,5955,425253,13839,7891.419156,5836107,1.338060924,103483.8266
223,Mississippi,1/16/21,250869,5481,198888,46500,8429.315871,1473795,2.184805616,49520.20211
224,Missouri,1/16/21,499866,6523,,441474,7298.513319,3920745,1.443716918,63882.54168
225,Montana,1/16/21,89056,1088,82920,5048,8332.506844,874943,1.221703198,81863.86696
226,Nebraska,1/16/21,180910,1837,124963,54110,9352.215251,1908692,1.015422033,98670.60103
227,Nevada,1/16/21,260090,3761,,256329,8444.052834,2317860,1.44603791,75251.38337
228,New Hampshire,1/16/21,57605,927,48937,6081,4114.477268,1138549,1.656984538,83734.63184
229,New Jersey,1/16/21,622089,20414,62155,539520,7003.779473,8682801,3.281524026,97755.182
230,New Mexico,1/16/21,162893,2910,84803,75180,7768.540019,2140605,1.786448773,102087.7239
231,New York,1/16/21,1228867,40806,114868,1073193,6316.925729,28732991,3.320619725,147700.4184
232,North Carolina,1/16/21,667826,8016,521475,138335,6367.473792,8014058,1.200312656,76411.07756
233,North Dakota,1/16/21,95714,1403,92820,1491,12559.87046,1301427,1.465825271,170777.0496
234,Ohio,1/16/21,821507,15714,672231,139141,7027.97478,8431240,1.233708295,72129.07752
235,Oklahoma,1/16/21,352145,2952,309057,39656,8887.227124,2952665,0.839435258,74619.32372
236,Oregon,1/16/21,132412,1799,5870,124743,3139.408645,2919566,1.35863819,69221.14869
237,Pennsylvania,1/16/21,765489,19143,578950,167396,5979.453661,8433901,2.50075442,32940.25639
238,Rhode Island,1/16/21,104443,2161,6229,96209,9859.056544,2242295,1.9197074,211664.8621
239,South Carolina,1/16/21,382422,6108,173075,203239,7427.524621,3663312,1.597188446,71150.03863
240,South Dakota,1/16/21,105278,1633,98808,4837,11900.40456,390520,1.55113129,44143.56266
241,Tennessee,1/16/21,680847,8355,605596,66896,9969.68301,6097151,1.22714795,89280.94379
242,Texas,1/16/21,2112662,32428,1666745,413489,7286.076253,15584254,1.534935546,53746.44074
243,Utah,1/16/21,322252,1485,264246,56521,10051.66007,2448874,0.460819483,76385.093
244,Vermont,1/16/21,9915,163,6633,3119,1588.970318,796904,1.643973777,127711.2257
245,Virginia,1/16/21,429391,5706,35095,388590,5030.63727,4764813,1.328858779,55823.35415
246,Washington,1/16/21,285970,3903,,282067,3755.404048,4179833,1.364828479,54890.23943
247,West Virginia,1/16/21,108124,1761,79109,27254,6033.210445,1759981,1.628685583,98205.16955
248,Wisconsin,1/16/21,566275,5905,487754,72616,9725.743564,5772267,1.042779568,99138.38439
249,Wyoming,1/16/21,49068,522,46734,1812,8478.140297,549805,1.063829787,94997.22682
250,Alabama,1/17/21,422598,6120,221961,194517,8618.846729,2029488,1.4481848,41391.21816
251,Alaska,1/17/21,51959,229,7165,44544,7099.768299,1404756,0.440910316,192025.9177
252,Arizona,1/17/21,673882,11266,91604,571012,9258.252519,6029520,1.671806043,44112.45828
253,Arkansas,1/17/21,271154,4311,241926,24917,8985.142839,2272698,1.589871438,75309.66226
254,California,1/17/21,3014428,33810,,2958116,7571.659534,38228615,1.123597008,96751.36476
255,Colorado,1/17/21,374981,5379,19858,349744,6511.515722,5007126,1.43447268,86948.35117
256,Connecticut,1/17/21,223422,6594,9800,207028,6266.592283,4880936,2.951365577,136901.6295
257,Delaware,1/17/21,70294,1200,18851,50427,7218.792233,1116162,1.445358068,114623.4611
258,Florida,1/17/21,1571279,24137,,1547142,7315.849896,17654084,1.536137121,82197.13278
259,Georgia,1/17/21,815995,12296,,803699,7685.43365,5925441,1.506871978,55808.65526
260,Hawaii,1/17/21,25064,322,11958,12316,1737.092054,910779,1.305143322,64326.36566
261,Idaho,1/17/21,155554,1607,70736,83211,8704.439962,576008,1.033081759,32232.06766
262,Illinois,1/17/21,1068829,20050,,1048779,8434.691431,14763993,1.87588473,116510.4289
263,Indiana,1/17/21,590211,10602,376384,204517,8766.96079,6431185,1.57740198,95528.458
264,Iowa,1/17/21,305151,4323,265923,34905,9671.766395,1216693,1.416675679,38563.10637
265,Kansas,1/17/21,258354,3489,5138,249727,8868.04512,1100365,1.350472607,37770.21632
266,Kentucky,1/17/21,326674,3127,40541,283006,7311.949644,3400741,0.957223409,76118.84308
267,Louisiana,1/17/21,368980,8203,298614,62163,7937.112292,4638346,2.223155727,99775.25354
268,Maine,1/17/21,33559,511,11989,21059,2496.555603,1239325,1.522691379,92197.13855
269,Maryland,1/17/21,326445,6567,9454,310424,5399.640735,6455048,2.011671185,106771.2482
270,Massachusetts,1/17/21,470140,13652,324203,132285,6821.034391,12348663,2.903815885,179160.7925
271,Michigan,1/17/21,581785,14669,442408,124708,5825.506463,8807614,2.521378172,88192.05081
272,Minnesota,1/17/21,446380,5995,427468,12917,7915.05545,5863218,1.343026121,103964.5495
273,Mississippi,1/17/21,252475,5521,198888,48066,8483.278223,1475401,2.186751163,49574.16447
274,Missouri,1/17/21,502063,6526,,442911,7321.943329,3933456,1.439319594,64089.64798
275,Montana,1/17/21,89393,1092,83154,5147,8364.038182,879728,1.221572159,82311.57453
276,Nebraska,1/17/21,181978,1837,124963,55178,9407.425941,1908692,1.009462682,98670.60103
277,Nevada,1/17/21,261573,3779,,257794,8492.199746,2329676,1.444720977,75635.00031
278,New Hampshire,1/17/21,58229,933,49544,6387,4182.065159,1146577,1.640756894,84325.05143
279,New Jersey,1/17/21,627221,20439,62155,544627,7061.558017,8687933,3.258660026,97812.96054
280,New Mexico,1/17/21,163637,2932,86110,74595,7804.022169,2157518,1.79177081,102894.3228
281,New York,1/17/21,1242561,40993,115901,1085667,6387.319011,28979498,3.299073446,148967.5746
282,North Carolina,1/17/21,674637,8083,521475,145079,6432.414157,8087429,1.198125807,77110.6429
283,North Dakota,1/17/21,95864,1406,93020,1438,12579.55389,1305288,1.466661103,171283.7013
284,Ohio,1/17/21,826754,15831,678264,138290,7072.862752,8478037,1.233740629,72529.42485
285,Oklahoma,1/17/21,355478,2987,311883,40109,8970.978054,2955979,0.841458227,74703.07465
286,Oregon,1/17/21,133205,1800,5870,125535,3158.210197,2919566,1.351300627,69221.14869
287,Pennsylvania,1/17/21,770985,19255,578950,172780,6022.38449,8494845,2.497454555,33110.52681
288,Rhode Island,1/17/21,104443,2169,6229,96209,9859.056544,2242295,1.9197074,211664.8621
289,South Carolina,1/17/21,388184,6237,174706,207241,7539.436061,3713908,1.606712281,72132.73062
290,South Dakota,1/17/21,105544,1656,99226,4662,11930.47265,391422,1.569013871,44245.52285
291,Tennessee,1/17/21,685321,8391,610796,66134,10035.19606,6128058,1.224389739,89733.51682
292,Texas,1/17/21,2127111,32600,1677588,416923,7335.907469,15718021,1.532595149,54207.77179
293,Utah,1/17/21,323837,1493,265051,57293,10101.09927,2458733,0.461034409,76692.61419
